source,id,description,severity,action
suricata,10.128.0.207,Заблокирован: 314744 алертов,high,blocked
suricata,10.128.0.205,Заблокирован: 141241 алертов,high,blocked
suricata,10.192.0.159,Заблокирован: 104674 алертов,high,blocked
suricata,10.192.19.6,Заблокирован: 96878 алертов,high,blocked
suricata,10.128.0.221,Заблокирован: 90679 алертов,high,blocked
suricata,10.10.1.9,Заблокирован: 66750 алертов,high,blocked
suricata,10.128.0.241,Заблокирован: 62855 алертов,high,blocked
suricata,10.192.0.101,Заблокирован: 58673 алертов,high,blocked
suricata,10.192.0.83,Заблокирован: 48958 алертов,high,blocked
suricata,10.192.88.88,Заблокирован: 47465 алертов,high,blocked
suricata,10.241.111.81,Заблокирован: 46868 алертов,high,blocked
suricata,10.240.105.57,Заблокирован: 44055 алертов,high,blocked
suricata,10.244.217.243,Заблокирован: 41979 алертов,high,blocked
suricata,10.10.3.80,Заблокирован: 41049 алертов,high,blocked
suricata,10.10.4.9,Заблокирован: 35749 алертов,high,blocked
suricata,10.164.94.120,Заблокирован: 33916 алертов,high,blocked
suricata,10.172.152.13,Заблокирован: 28110 алертов,high,blocked
suricata,10.128.0.238,Заблокирован: 25201 алертов,high,blocked
suricata,10.10.2.9,Заблокирован: 16835 алертов,high,blocked
suricata,10.192.91.91,Заблокирован: 16358 алертов,high,blocked
suricata,10.10.8.9,Заблокирован: 14504 алертов,high,blocked
suricata,10.218.198.194,Заблокирован: 14477 алертов,high,blocked
suricata,10.128.0.215,Заблокирован: 13407 алертов,high,blocked
suricata,10.10.3.9,Заблокирован: 12531 алертов,high,blocked
suricata,10.10.5.9,Заблокирован: 12301 алертов,high,blocked
suricata,10.47.3.200,Заблокирован: 12294 алертов,high,blocked
suricata,10.47.8.200,Заблокирован: 12208 алертов,high,blocked
suricata,172.16.31.14,Заблокирован: 10334 алертов,high,blocked
suricata,172.16.34.14,Заблокирован: 10181 алертов,high,blocked
suricata,10.192.5.200,Заблокирован: 9410 алертов,high,blocked
suricata,172.16.38.14,Заблокирован: 8525 алертов,high,blocked
suricata,172.16.35.14,Заблокирован: 8092 алертов,high,blocked
suricata,10.255.255.69,Заблокирован: 7892 алертов,high,blocked
suricata,172.16.23.74,Заблокирован: 6948 алертов,high,blocked
suricata,10.47.3.100,Заблокирован: 6622 алертов,high,blocked
suricata,10.128.0.19,Заблокирован: 6610 алертов,high,blocked
suricata,10.174.251.215,Заблокирован: 6107 алертов,high,blocked
suricata,10.10.8.10,Заблокирован: 6038 алертов,high,blocked
suricata,10.10.8.168,Заблокирован: 5823 алертов,high,blocked
suricata,10.128.0.223,Заблокирован: 5659 алертов,high,blocked
suricata,10.10.1.10,Заблокирован: 5614 алертов,high,blocked
suricata,10.10.2.10,Заблокирован: 5432 алертов,high,blocked
suricata,10.227.37.30,Заблокирован: 5349 алертов,high,blocked
suricata,10.130.231.201,Заблокирован: 5231 алертов,high,blocked
suricata,10.177.225.71,Заблокирован: 5173 алертов,high,blocked
suricata,10.199.194.15,Заблокирован: 5152 алертов,high,blocked
suricata,10.130.205.86,Заблокирован: 4960 алертов,high,blocked
suricata,10.10.4.6,Заблокирован: 4816 алертов,high,blocked
suricata,10.47.8.100,Заблокирован: 4778 алертов,high,blocked
suricata,10.175.154.194,Заблокирован: 4612 алертов,high,blocked
suricata,10.128.0.247,Заблокирован: 4452 алертов,high,blocked
suricata,10.10.3.6,Заблокирован: 4325 алертов,high,blocked
suricata,10.47.4.200,Заблокирован: 4100 алертов,high,blocked
suricata,10.10.1.107,Заблокирован: 4077 алертов,high,blocked
suricata,10.47.5.154,Заблокирован: 3801 алертов,high,blocked
suricata,10.47.6.200,Заблокирован: 3546 алертов,high,blocked
suricata,10.10.1.6,Заблокирован: 3506 алертов,high,blocked
suricata,10.47.4.100,Заблокирован: 3368 алертов,high,blocked
suricata,10.10.2.6,Заблокирован: 3294 алертов,high,blocked
suricata,10.10.7.9,Заблокирован: 3287 алертов,high,blocked
suricata,10.10.8.6,Заблокирован: 3148 алертов,high,blocked
suricata,10.128.0.231,Заблокирован: 3038 алертов,high,blocked
suricata,10.47.1.208,Заблокирован: 3010 алертов,high,blocked
suricata,10.47.2.208,Заблокирован: 2937 алертов,high,blocked
suricata,10.192.192.251,Заблокирован: 2902 алертов,high,blocked
suricata,10.10.5.6,Заблокирован: 2854 алертов,high,blocked
suricata,10.47.6.208,Заблокирован: 2815 алертов,high,blocked
suricata,10.47.5.155,Заблокирован: 2652 алертов,high,blocked
suricata,10.250.250.250,Заблокирован: 2651 алертов,high,blocked
suricata,10.10.6.6,Заблокирован: 2649 алертов,high,blocked
suricata,10.163.143.94,Заблокирован: 2633 алертов,high,blocked
suricata,10.10.7.31,Заблокирован: 2498 алертов,high,blocked
suricata,10.47.5.208,Заблокирован: 2474 алертов,high,blocked
suricata,10.47.8.142,Заблокирован: 2384 алертов,high,blocked
suricata,10.192.0.227,Заблокирован: 2362 алертов,high,blocked
suricata,10.128.0.235,Заблокирован: 2249 алертов,high,blocked
suricata,146.52.78.242,Заблокирован: 2230 алертов,high,blocked
suricata,10.47.4.142,Заблокирован: 2221 алертов,high,blocked
suricata,10.47.6.100,Заблокирован: 2217 алертов,high,blocked
suricata,10.47.6.154,Заблокирован: 2179 алертов,high,blocked
suricata,10.10.6.87,Заблокирован: 2021 алертов,high,blocked
suricata,172.16.32.77,Заблокирован: 1896 алертов,high,blocked
suricata,10.10.7.6,Заблокирован: 1855 алертов,high,blocked
suricata,10.192.0.153,Заблокирован: 1837 алертов,high,blocked
suricata,10.128.0.100,Заблокирован: 1674 алертов,high,blocked
suricata,192.168.0.54,Заблокирован: 1516 алертов,high,blocked
suricata,10.47.41.32,Заблокирован: 1387 алертов,high,blocked
suricata,10.47.42.32,Заблокирован: 1339 алертов,high,blocked
suricata,54.235.163.229,Заблокирован: 1335 алертов,high,blocked
suricata,10.47.3.142,Заблокирован: 1319 алертов,high,blocked
suricata,10.47.46.32,Заблокирован: 1308 алертов,high,blocked
suricata,10.47.48.32,Заблокирован: 1239 алертов,high,blocked
suricata,10.47.44.32,Заблокирован: 1175 алертов,high,blocked
suricata,10.10.2.169,Заблокирован: 1126 алертов,high,blocked
suricata,10.192.0.6,Заблокирован: 1084 алертов,high,blocked
suricata,10.192.166.1,Заблокирован: 1068 алертов,high,blocked
suricata,10.47.4.208,Заблокирован: 1063 алертов,high,blocked
suricata,10.128.0.225,Заблокирован: 989 алертов,high,blocked
suricata,10.128.0.233,Заблокирован: 954 алертов,high,blocked
suricata,10.47.5.20,Заблокирован: 948 алертов,high,blocked
suricata,10.192.0.223,Заблокирован: 929 алертов,high,blocked
suricata,10.47.44.68,Заблокирован: 901 алертов,high,blocked
suricata,172.16.35.6,Заблокирован: 880 алертов,high,blocked
suricata,10.47.7.153,Заблокирован: 873 алертов,high,blocked
suricata,10.47.23.81,Заблокирован: 871 алертов,high,blocked
suricata,172.16.37.6,Заблокирован: 867 алертов,high,blocked
suricata,10.10.1.135,Заблокирован: 866 алертов,high,blocked
suricata,172.16.36.6,Заблокирован: 859 алертов,high,blocked
suricata,10.243.77.103,Заблокирован: 854 алертов,high,blocked
suricata,172.16.32.6,Заблокирован: 841 алертов,high,blocked
suricata,10.150.0.20,Заблокирован: 839 алертов,high,blocked
suricata,172.16.31.6,Заблокирован: 836 алертов,high,blocked
